breed,prop1,prop2,prop3
Affenpinscher,Hip & Joint,Aller Inmune,Skin & Coat
Aidi (Perro del Atlas),Hip & Joint,Aller Inmune,Probiotic
Alano Español,Hip & Joint,Shampoo Itchy Dog,Aller Inmune
Airedale Terrier,Hip & Joint,Aller Inmune,Probiotic
Akita Inu,Hip & Joint,Aller Inmune,Shampoo Sensitive Skin
Akita Americano,Hip & Joint,Shampoo sensitive Skin,Skin & Coat
American Bully,Hip & Joint,Shampoo Itchy Dog,Aller Inmune
Alaskan Malamute,Hip & Joint,Shampoo Itchy Dog,Skin & Coat
Alaskan Klee Kai,Hip & Joint,Skin & Coat,Probiotic
American Pit Bull Terrier,Shampoo Itchy Dog,Hip & Joint,Aller Inmune
American Staffordshire,Shampoo Itchy Dog,Hip & Joint,Aller Inmune
Australian Silky Terrier,Hip & Joint,Shampoo Itchy Dog,Probiotic
Azawakh,Hip & Joint,Shampoo sensitive Skin,Probiotic
Basenji,Aller inmune,Hip & Joint,Calming
Barbet,Hip & Joint,Shampoo sensitive Skin,Probiotic
Basset Alpino,Hip & Joint,Probiotic,Shampoo Sensitive Skin
Basset Artesiano de Normandia,Hip & Joint,Shampoo sensitive Skin,Probiotic
Basset Azul de Gascuña,Hip & Joint,Shampoo sensitive Skin,Probiotic
Basset Leonado de Bretaña,Hip & Joint,Shampoo sensitive Skin,Probiotic
Basset Hound,Hip & Joint,Shampoo Sensitive Skin,Probiotic
Beagle,Hip & Joint,Shampoo Itchy Dog,Aller Inmune
Beagle-Harrier,Hip & Joint,Shampoo Itchy Dog,Aller Inmune
Bedlington Terrier,Hip & Joint,Shampoo Itchy Dog,Aller Inmune
Bergamasco,Hip & Joint,Skin & Coat,Probiotic
Bichon Boloñes (Bolognese),Shampoo Itchy Dog,Hip & Joint,Probiotic
Bichon de pelo Frisado,Shampoo Itchy Dog,Hip & Joint,Probiotic
Bichon Habanero,Hip & Joint,Aller Inmune,Shampoo Sensitive Skin
Bloodhound,Hip & Joint,Shampoo sensitive Skin,Aller Inmune
Bobtail,Hip & Joint,Skin & Coat,Aller Inmune
Border Collie,Hip & Joint,Aller Inmune,Probiotic
Bóxer,Aller Inmune,Hip & Joint,Probiotic
Boston Terrier,Hip & Joint,Shampoo Itchy Dog,Aller Inmune
Borzoi,Hip & Joint,Skin & Coat,Probiotic
Boyero de Appenzell,Hip & Joint,Probiotic,Shampoo Sensitive Skin
Boyero de Berna,Hip & Joint,Aller Inmune,Probiotic
Boyero de Flandes,Hip & Joint,Skin & Coat,Probiotic
Boyero de Entlebuch,Hip & Joint,Skin & Coat,Probiotic
Braco Aleman de Pelo Corto,Hip & Joint,Aller Inmune,Shampoo Itchy Dog
Braco Frances,Hip & Joint,Shampoo sensitive Skin,Probiotic
Buhund Noruego,Hip & Joint,Skin & Coat,Probiotic
Bullmastiff,Hip & Joint,Wrinkle Balm,Probiotic
Bull Terrier,Hip & Joint,Aller Inmune,Shampoo Itchy Dog
Bulldog Francés,Shampoo Itchy Dog,Wrinkle Balm,Snout Soother
Bulldog Inglés,Hip & Joint,Aller Inmune,Wrinkle Balm
Cavalier King Charles Spaniel,Shampoo Itchy Dog,Hip & Joint,Calming
Cazador de Alce Noruego,Hip & Joint,Skin & Coat,Probiotic
Cesky Terrier,Hip & Joint,Skin & Coat,Shampoo Sensitive Skin
Cimarron Uruguayo,Hip & Joint,Probiotic,Shampoo Sensitive Skin
Chihuahua,Hip & Joint,Shampoo Itchy Dog,Calming
Chin Japones,Hip & Joint,Shampoo sensitive Skin,Skin & Coat
Chow Chow,Hip & Joint,Shampoo sensitive Skin,Skin & Coat
Cirneco del Etna,Hip & Joint,Shampoo sensitive Skin,Calming
Cobrador de Pelo Liso,Hip & Joint,Shampoo Itchy Dog,Skin & Coat
Cocker Spaniel,Skin and Coat,Shampoo sensitive Skin,Hip & Joint
Cocher Spaniel Americano,Aller inmune,Hip & Joint,Probiotic
Collie,Hip & Joint,Shampoo sensitive Skin,Calming
Collie de pelo corto,Hip & Joint,Shampoo sensitive Skin,Calming
Corgi Galés de Cárdigan,Hip & Joint,Aller Inmune,Shampoo Sensitive Skin
Crestado Chino,Aller inmune,Shampoo Itchy Dog,Hip & Joint
Dandie Dinmont Terrier,Aller inmune,Hip & Joint,Calming
Dálmata,Shampoo sensitive skin,Shampoo Itchy Dog,Aller Inmune
Doberman,Hip & Joint,Shampoo sensitive Skin,Aller Inmune
Dogo Aleman,Hip & Joint,Shampoo Itchy Dog,Probiotic
Dogo Argentino,Hip & Joint,Shampoo Itchy Dog,Aller Inmune
Dogo de Burdeos (Dogue des Bordeaux),Hip & Joint,Aller Inmune,Probiotic
Dogo Mallorquín,Hip & Joint,Aller Inmune,Probiotic
Esquimal Canadiense,Hip & Joint,Skin & Coat,Calming
Eurasier,Hip & Joint,Skin & Coat,Probiotic
Fila Brasileño,Hip & Joint,Skin & Coat,Probiotic
Fox Terrier,Aller inmune,Shampoo Itchy Dog,Hip & Joint
Foxhound Americano,Hip & Joint,Skin & Coat,Probiotic
Galgo Húngaro,Hip & Joint,Shampoo sensitive Skin,Probiotic
Galgo Inglés,Hip & Joint,Skin & Coat,Calming
Galgo Italiano,Hip & Joint,Shampoo sensitive Skin,Probiotic
Glen of Imaal Terrier,Hip & Joint,Shampoo sensitive Skin,Probiotic
Golden Retriever,Hip & Joint,Aller Inmune,Probiotic
Gran Danés,Hip & Joint,Shampoo sensitive Skin,Probiotic
Gran Pirineo,Hip & Joint,Skin & Coat,Probiotic
Greyhound,Hip & Joint,Shampoo Itchy Dog,Calming
Grifon Belga,Skin and Coat,Probiotic,Calming
Hovawart,Hip & Joint,Shampoo sensitive Skin,Calming
Huskey Siberiano,Hip & Joint,Skin & Coat,Calming
Jack Russell Terrier,Hip & Joint,Aller Inmune,Shampoo Itchy Dog
Keeshond (Wolfspitz),Hip & Joint,Aller Inmune,Shampoo Itchy Dog
Kerry Blue Terrier,Hip & Joint,Shampoo sensitive Skin,Skin and Coat
Komondor,Hip & Joint,Skin & Coat,Probiotic
Kuvasz,Hip & Joint,Skin & Coat,Probiotic
Labrador Retriever,Hip & Joint,Aller Inmune,Probiotic
Laika de Siberia Oriental,Hip & Joint,Skin & Coat,Probiotic
Lebrel Afgano,Skin and Coat,Shampoo sensitive Skin,Probiotic
Lebrel Escosés,Hip & Joint,Aller Inmune,Probiotic
Lebrel Polaco,Hip & Joint,Shampoo sensitive Skin,Probiotic
Leonberger,Hip & Joint,Skin & Coat,Probiotic
Lobero Irlandés,Hip & Joint,Shampoo sensitive Skin,Probiotic
Lobo de Saarloos,Hip & Joint,Skin & Coat,Calming
Lowchen (pequeño perro león),Hip & Joint,Shampoo Itchy Dog,Aller Inmune
Lundehund,Hip & Joint,Probiotic,Shampoo Sensitive Skin
Mestizo (callejero),Hip & Joint,Aller Inmune,Probiotic
Manchester Terrier,Hip & Joint,Skin & Coat,Probiotic
Maltese,Shampoo Itchy Dog,Hip & Joint,Probiotic
Mastín Español,Hip & Joint,Aller Inmune,Shampoo Itchy Dog
Mastín Napolitano,Hip & Joint,Aller Inmune,Shampoo Itchy Dog
Mastín Tibetano,Hip & Joint,Aller Inmune,Probiotic
Mastín del Pirineo,Hip & Joint,Shampoo Itchy Dog,Aller Inmune
Mudi,Hip & Joint,Shampoo sensitive Skin,Probiotic
Mucuchies,Hip & Joint,Shampoo sensitive Skin,Probiotic
Munsterlander Grande,Hip & Joint,Shampoo sensitive Skin,Probiotic
Munsterlader Pequeño,Hip & Joint,Shampoo sensitive Skin,Probiotic
Norfolk Terrier,Hip & Joint,Aller Inmune,Shampoo Itchy Dog
Otterhound,Hip & Joint,Skin & Coat,Probiotic
Ovejero Megallánico,Hip & Joint,Skin & Coat,Probiotic
Pachón Navarro,Hip & Joint,Shampoo sensitive Skin,Probiotic
Phalène,Pawsoother,Shampoo sensitive Skin,Calming
Papillón,Pawsoother,Shampoo sensitive Skin,Calming
Pastor Alemán,Hip & Joint,Aller Inmune,Calming
Pastor Beauceron,Hip & Joint,Skin & Coat,Probiotic
Pastor Belga Tervueren,Hip & Joint,Skin & Coat,Probiotic
Pastor Croata,Skin and Coat,Probiotic,Calming
Pastor de Brie,Hip & Joint,Skin & Coat,Probiotic
Pastor Garafiano,Hip & Joint,Skin & Coat,Probiotic
Pastor Holandés,Hip & Joint,Skin & Coat,Probiotic
Pastor Leonés,Hip & Joint,Skin & Coat,Calming
Pastor ovejero Australiano,Hip & Joint,Skin & Coat,Calming
Pastor Mallorquín,Hip & Joint,Skin & Coat,Probiotic
Pastor de Maremma,Hip & Joint,Skin & Coat,Probiotic
Pastor de Picardía,Hip & Joint,Skin & Coat,Shampoo Sensitive Skin
Pastor de las Islas de Shetland,Hip & Joint,Skin & Coat,Calming
Pastor Peuano Chiribaya,Hip & Joint,Shampoo sensitive Skin,Probiotic
Pastor Suizo,Hip & Joint,Probiotic,Skin & Coat
Pastor Vasco,Skin and Coat,Probiotic,Shampoo Sensitive Skin
Pastor de Valée,Skin and Coat,Hip & Joint,Probiotic
Pequinés,Shampoo sensitive skin,Skin & Coat,Probiotic
Perdiguero Francés,Hip & Joint,Shampoo Itchy Dog,Probiotic
Perdiguero Portugués,Hip & Joint,Shampoo Itchy Dog,Probiotic
Perro de Agua Portugués (Cao de agua Portugués),Hip & Joint,Skin & Coat,Aller Inmune
Perro de Castro Laboreiro (Cao de Castro Laboreiro),Hip & Joint,Probiotic,Calming
Perro de Fila de Sao Miguel (Cao de Fila de Sao Miguel),Hip & Joint,Skin & Coat,Probiotic
Perro de Serra de Aires (Cao de Serra de Aires),Hip & Joint,Skin and Coat,Probiotic
Perro de Serra de Estrella (Cao de Serra de Estrella),Hip & Joint,Skin and Coat,Probiotic
Perro de Aguas Español,Hip & Joint,Skin & Coat,Aller Inmune
Perro Crestado Rodesiano (Rhodesian Ridgeback),Hip & Joint,Pawsoother,Probiotic
Perro de Groenlandia,Hip & Joint,Shampoo Itchy Dog,Aller Inmune
Perro Majorero,Hip & Joint,Skin & Coat,Probiotic
Perro Lobo Checoslovaco,Hip & Joint,Skin & Coat,Shampoo Sensitive Skin
Presa Canario,Hip & Joint,Skin & Coat,Probiotic
Podenco,Calming,Probiotic,Pawsoother
Podenco Canario,Hip & Joint,Probiotic,Calming
Podenco Ibicenco,Hip & Joint,Probiotic,Calming
Podenco Portugués,Hip & Joint,Probiotic,Calming
Pinscher Miniatura,Hip & Joint,Shampoo sensitive Skin,Calming
Pointer Inglés,Hip & Joint,Probiotic,Shampoo Sensitive Skin
Pomsky,Aller inmune,Hip & Joint,Probiotic
Pomerania,Hip & Joint,Calming,Shampoo Sensitive Skin
Poodle (Caniche),Hip & Joint,Skin & Coat,Calming
Pug (Carlino),Aller inmune,Shampoo Itchy Dog,Hip & Joint
Puli,Hip & Joint,Skin & Coat,Probiotic
Pudelpointer,Hip & Joint,Skin & Coat,Probiotic
Pitbull,Aller inmune,Shampoo Itchy Dog,Hip & Joint
Pumi,Hip & Joint,Shampoo sensitive Skin,Aller Inmune
Rafeiro do Alentejo,Hip & Joint,Skin & Coat,Probiotic
Ratonero Valenciano,Hip & Joint,Skin & Coat,Calming
Ratonero Bodeguero Andaluz,Hip & Joint,Calming,Probiotic
Retriever de Chesapeake,Hip & Joint,Calming,Probiotic
Retriever de Nueva Escocia,Hip & Joint,Skin & Coat,Probiotic
Ridgeback Tailandés,Hip & Joint,Shampoo sensitive Skin,Probiotic
Rottweiler,Hip & Joint,Aller Inmune,Skin and Coat
Sabueso Bosnio,Hip & Joint,Skin & Coat,Probiotic
Sabueso Artesiano,Hip & Joint,Shampoo Itchy Dog,Aller Inmune
Sabueso Fino Colombiano,Hip & Joint,Probiotic,Aller Inmune
"Salchicha (Teckel, Dachshund)",Hip & Joint,Skin and Coat,ALLER INMUNE
Samoyedo,Hip & Joint,Skin & Coat,Aller Inmune
San Bernardo,Hip & Joint,Skin & Coat,Aller Inmune
Schnauzer,Skin and Coat,Shampoo Itchy Dog,Hip & Joint
Schapendoes,Hip & Joint,Shampoo sensitive Skin,Probiotic
Schipperke,Hip & Joint,Shampoo sensitive Skin,Probiotic
Setter Inglés,Hip & Joint,Aller Inmune,Shampoo Itchy Dog
Setter Irlandés,Hip & Joint,Shampoo sensitive Skin,Aller Inmune
Shar Pei,Shampoo sensitive skin,Hip & Joint,Wrinkle Balm
Shiba Inu,Hip & Joint,Shampoo Itchy Dog,Aller Inmune
Shih Tzu,Probiotic,Skin & Coat,Hip & Joint
Shikoku Inu,Aller inmune,Shampoo Itchy Dog,Hip & Joint
Skye Terrier,Aller inmune,Shampoo Itchy Dog,Hip & Joint
Spaniel Tibetano,Hip & Joint,Skin & Coat,Calming
Spaniel Breton,Hip & Joint,Skin & Coat,Probiotic
Spaniel de campo,Hip & Joint,Aller Inmune,Skin & Coat
Spaniel Clumber,Hip & Joint,Shampoo sensitive Skin,Probiotic
Spitz Finlandés,Hip & Joint,Shampoo sensitive Skin,Probiotic
Spitz Japonés,Aller inmune,Shampoo Itchy Dog,Probiotic
Spitz Enano,Hip & Joint,Hip & Joint,Hip & Joint
Spitz Mediano,Hip & Joint,Hip & Joint,Hip & Joint
Springer Spaniel Inglés,Hip & Joint,Shampoo Itchy Dog,Aller Inmune
Staffordshire Bull Terrier,Hip & Joint,Aller inmune,Probiotic
Sussex Spaniel,Hip & Joint,Skin & Coat,Shampoo Sensitive Skin
Terranova,Hip & Joint,Aller Inmune,Probiotic
Terrier Alemán,Hip & Joint,Aller Inmune,Skin and Coat
Terrier Australiano,Hip & Joint,Aller Inmune,Shampoo Itchy Dog
Terrier Brasileño,Hip & Joint,Shampoo sensitive Skin,Probiotic
Terrier de Nordfolk,Hip & Joint,Shampoo Itchy Dog,Calming
Terrier de Norwich,Aller inmune,Shampoo Itchy Dog,Calming
Terrier Checo,Hip & Joint,Shampoo sensitive Skin,Calming
Terrier Chileno,Aller inmune,Shampoo Itchy Dog,Hip & Joint
Terrier Escocés,Aller inmune,Shampoo Itchy Dog,Hip & Joint
Terrier Gales,Aller inmune,Shampoo Itchy Dog,Hip & Joint
Terrier Irlandés,Aller inmune,Paw soother,Calming
Terrier Ruso Negro,Aller inmune,Skin & Coat,Calming
Terrier Tibetano,Hip & Joint,Aller Inmune,Skin & Coat
Toy Espaniel Inglés,Shampoo sensitive skin,Skin & Coat,Calming
Vallhund Sueco,Hip & Joint,Skin & Coat,Shampoo Sensitive Skin
Volpino Italiano,Hip & Joint,Skin & Coat,Shampoo Sensitive Skin
Whippet,Hip & Joint,Aller Inmune,Shampoo Sensitive Skin
Weimaraner,Hip & Joint,Aller Inmune,Skin and Coat
West Higland white Terrier (Perro Westy),Shampoo sensitive skin,Aller Inmune,Hip & Joint
Xoloitzcuintle,Skin and Coat,Skin soother,Calming
Yorkshire Terrier,Shampoo Itchy Dog,Hip & Joint,Skin & Coat